Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
154,Node_I,2.092483,1.088321,1.623423,-3.212479,-23.305836,89.382729,Node_J,-2.092483,-1.088321,-1.623423,3.212479,4.131526,-76.528526
155,Node_I,3.243523,0.711431,-0.12084,-2.513981,9.105219,44.772335,Node_J,-3.243523,-0.711431,0.12084,2.513981,9.11588,62.502502
156,Node_I,-1.672693,0.18025,0.182009,-1.143396,-10.49314,17.176399,Node_J,1.672693,-0.18025,-0.182009,1.143396,-14.586835,7.661263
157,Node_I,-0.326537,0.006457,0.11929,3.516242,-11.481587,-1.712043,Node_J,0.326537,-0.006457,-0.11929,-3.516242,-4.956027,2.601806
158,Node_I,0.366065,-0.999529,-0.317266,-5.551831,22.814041,-93.080254,Node_J,-0.366065,0.999529,0.317266,5.551831,25.025711,-57.636169
159,Node_I,1.255691,1.041838,-0.171085,-9.720827,12.646778,68.413673,Node_J,-1.255691,-1.041838,0.171085,9.720827,13.150625,88.682327
160,Node_I,1.147823,-0.251062,0.145674,9.11377,-11.173125,-25.956076,Node_J,-1.147823,0.251062,-0.145674,-9.11377,-15.495523,-20.006062
161,Node_I,-1.452339,0.1072,0.167369,12.118418,-14.277358,13.979921,Node_J,1.452339,-0.1072,-0.167369,-12.118418,-16.363104,5.64525
162,Node_I,-4.845442,1.257368,-0.133105,-11.066441,9.791544,83.384155,Node_J,4.845442,-1.257368,0.133105,11.066441,10.279044,106.211159
163,Node_I,-0.028412,1.551265,0.020088,13.189187,0.686154,146.741913,Node_J,0.028412,-1.551265,-0.020088,-13.189187,-2.544665,-3.219319
164,Node_I,0.028412,1.116318,-0.020088,19.603146,3.598032,100.046387,Node_J,-0.028412,-1.116318,0.020088,-19.603146,-1.739521,3.23496
165,Node_I,-0.020088,0.217474,-0.028412,-3.227139,2.544665,13.168414,Node_J,0.020088,-0.217474,0.028412,3.227139,1.739521,19.623919
166,Node_I,-2.267441,0.890347,-0.104379,-3.050798,7.933724,56.188587,Node_J,2.267441,-0.890347,0.104379,3.050798,7.805301,78.064468
167,Node_I,-0.657859,2.945442,0.034383,21.175484,-0.95128,313.75235,Node_J,0.657859,-2.945442,-0.034383,-21.175484,-2.365174,-29.644743
168,Node_I,-0.555002,-1.288217,0.363573,-25.134962,-5.379783,34.669128,Node_J,0.555002,1.288217,-0.363573,25.134962,-11.79691,-95.529793
169,Node_I,-0.257962,1.438959,0.297109,17.294834,-16.286606,90.588776,Node_J,0.257962,-1.438959,-0.297109,-17.294834,-12.371578,48.208439
170,Node_I,-0.59131,-1.160154,0.235519,3.337629,-5.71,-49.404491,Node_J,0.59131,1.160154,-0.235519,-3.337629,-5.416861,-5.405938
171,Node_I,0.807616,-0.863344,-0.125382,-2.742461,4.223588,-87.871193,Node_J,-0.807616,0.863344,0.125382,2.742461,1.699957,47.083267
172,Node_I,0.87091,-3.7323,-0.083749,7.840187,4.199736,-52.33646,Node_J,-0.87091,3.7323,0.083749,-7.840187,3.878394,-307.668884
173,Node_I,0.115229,1.038921,-0.095977,-2.163888,4.077882,-9.588834,Node_J,-0.115229,-1.038921,0.095977,2.163888,0.456456,58.6717
174,Node_I,0.051936,-1.605338,-0.13761,8.484664,5.604817,-53.431427,Node_J,-0.051936,1.605338,0.13761,-8.484664,7.668561,-101.414185
175,Node_I,-0.041633,0.112348,0.063293,5.246734,-5.899693,10.520636,Node_J,0.041633,-0.112348,-0.063293,-5.246734,-6.061273,10.710565
176,Node_I,1.707916,1.5725,0.082743,-7.232396,-9.056131,193.746353,Node_J,-1.707916,-1.5725,-0.082743,7.232396,-11.141047,190.092163
177,Node_I,0.329191,0.845564,-0.102857,5.008964,7.744958,46.265091,Node_J,-0.329191,-0.845564,0.102857,-5.008964,1.973769,33.630703
178,Node_I,0.061591,-0.163533,-0.333348,1.204129,13.415899,-29.446669,Node_J,-0.061591,0.163533,0.333348,-1.204129,18.081579,13.994747
179,Node_I,-0.230492,1.508089,0.2676,4.176222,-10.422116,149.254272,Node_J,0.230492,-1.508089,-0.2676,-4.176222,-15.389668,-3.788988
180,Node_I,0.25783,1.876227,0.24881,1.218615,-12.476522,39.35511,Node_J,-0.25783,-1.876227,-0.24881,-1.218615,-5.400563,95.452553
181,Node_I,-0.020215,-2.004293,0.315814,-4.24871,-14.662472,-104.298096,Node_J,0.020215,2.004293,-0.315814,4.24871,-8.028875,-39.71117
182,Node_I,-1.457088,1.074707,0.267044,0.989382,-14.568442,28.484488,Node_J,1.457088,-1.074707,-0.267044,-0.989382,-15.132292,91.044922
